,file_abspath,file_name,height,width
0,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings12.jpeg,buildings12.jpeg,1080,1920
1,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings45.jpeg,buildings45.jpeg,1500,1000
2,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings5.jpeg,buildings5.jpeg,1080,1000
3,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings28.jpeg,buildings28.jpeg,1080,1620
4,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings49.jpeg,buildings49.jpeg,1688,3000
5,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings9.jpeg,buildings9.jpeg,2912,4368
6,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings24.jpeg,buildings24.jpeg,900,1200
7,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings32.jpeg,buildings32.jpeg,1688,3000
8,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings33.jpeg,buildings33.jpeg,3072,4608
9,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings25.jpeg,buildings25.jpeg,848,1272
10,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings35.png,buildings35.png,525,700
11,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings8.jpeg,buildings8.jpeg,427,640
12,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings48.jpeg,buildings48.jpeg,450,800
13,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings29.jpeg,buildings29.jpeg,1118,1680
14,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings4.jpeg,buildings4.jpeg,1414,2121
15,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings44.jpeg,buildings44.jpeg,1200,1200
16,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings13.jpeg,buildings13.jpeg,1200,1800
17,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings18.jpeg,buildings18.jpeg,615,923
18,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings22.jpeg,buildings22.jpeg,408,612
19,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings14.jpeg,buildings14.jpeg,1067,1600
20,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings3.jpeg,buildings3.jpeg,412,412
21,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings38.jpeg,buildings38.jpeg,531,918
22,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings39.jpeg,buildings39.jpeg,675,1200
23,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings2.jpeg,buildings2.jpeg,1333,2000
24,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings42.jpeg,buildings42.jpeg,600,900
25,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings15.jpeg,buildings15.jpeg,900,1200
26,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings23.jpeg,buildings23.jpeg,1200,1200
27,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings19.jpeg,buildings19.jpeg,869,1200
28,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings36.jpeg,buildings36.jpeg,675,900
29,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings1.jpeg,buildings1.jpeg,1080,1920
30,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings41.jpeg,buildings41.jpeg,549,976
31,/Users/sanghunoh/Develops/repository/own/study_knon_scraper_googleImage/photos/buildings/buildings17.jpeg,buildings17.jpeg,1067,1600
